model,week,spearman,pearson,overlap
XGB,55,0.7127819548872181,0.6110327532899202,0.8
XGB,56,0.6992481203007518,0.5764960241412156,0.8
XGB,57,0.7007518796992479,0.6093216931889333,0.8
XGB,58,0.6586466165413534,0.564000869663461,0.8
XGB,59,0.7157894736842104,0.6167336336867402,0.8
XGB,60,0.6887218045112782,0.5899465612118946,0.8
XGB,61,0.6827067669172932,0.6225062632307248,0.8
XGB,62,0.6721804511278194,0.6025815600779113,0.8
XGB,63,0.6676691729323309,0.5610493648046571,0.8
XGB,64,0.6902255639097743,0.6266146196626097,0.8
XGB,65,0.7218045112781954,0.6426158056638833,0.8
XGB,66,0.6902255639097743,0.6416455945781192,0.8
XGB,67,0.6977443609022556,0.6158047971814105,0.8
XGB,68,0.6571428571428571,0.6382070820552403,0.8
XGB,69,0.6646616541353383,0.6011912939650202,0.8
XGB,70,0.7007518796992479,0.6403700854662354,0.8
XGB,71,0.6827067669172932,0.6248298037697986,0.8
XGB,72,0.6586466165413534,0.5850041046046308,0.85
XGB,73,0.6796992481203006,0.6088167756418755,0.8
XGB,74,0.6812030075187969,0.6058128168893695,0.8
XGB,75,0.6902255639097743,0.614501100358782,0.8
XGB,76,0.6796992481203006,0.6034347811512775,0.8
XGB,77,0.669172932330827,0.598509752118589,0.8
XGB,78,0.6661654135338345,0.6085203676273212,0.8
XGB,79,0.6721804511278194,0.6070125604299649,0.8
XGB,80,0.6842105263157895,0.6182063601881841,0.8
XGB,81,0.6345864661654135,0.6136242996396576,0.8
XGB,82,0.6345864661654135,0.6172986642390063,0.8
XGB,83,0.6706766917293233,0.6187313819041999,0.8
XGB,84,0.6601503759398496,0.6358999268297971,0.85
XGB,85,0.6586466165413534,0.6550699907955039,0.85
XGB,86,0.6481203007518795,0.6169990906916234,0.85
XGB,87,0.669172932330827,0.5929060744439401,0.8
XGB,88,0.6646616541353383,0.598266007999669,0.85
XGB,89,0.6736842105263157,0.6229957137060199,0.8
XGB,90,0.6721804511278194,0.6797047461104996,0.85
XGB,91,0.6541353383458646,0.611555207218923,0.8
MLP,44,0.631578947368421,0.5961114629508875,0.7
MLP,45,0.6721804511278194,0.592256630915903,0.7
MLP,46,0.6631578947368421,0.6326699406450951,0.7
MLP,47,0.6676691729323309,0.5567490398478141,0.7
MLP,48,0.6466165413533834,0.6498948980333011,0.7
MLP,49,0.6390977443609022,0.581527316370041,0.65
MLP,50,0.6075187969924812,0.5909885846060892,0.7
MLP,51,0.6180451127819548,0.5774229972103648,0.7
MLP,52,0.5984962406015037,0.5658186156933807,0.65
MLP,53,0.6210526315789473,0.5883981429665807,0.7
MLP,54,0.6330827067669172,0.5762042635104452,0.6
MLP,55,0.613533834586466,0.5922092495005792,0.7
MLP,56,0.5759398496240601,0.6222275298473899,0.6
MLP,57,0.5924812030075187,0.6307361570822332,0.55
MLP,58,0.5744360902255639,0.5924396980420717,0.65
MLP,59,0.6015037593984961,0.6250922129290613,0.55
MLP,60,0.6075187969924812,0.6546946913267095,0.55
MLP,61,0.6270676691729322,0.6199396497049515,0.6
MLP,62,0.5789473684210527,0.6065102058653836,0.55
MLP,63,0.5488721804511278,0.5896032164346616,0.6
MLP,64,0.5954887218045113,0.633395629534454,0.65
MLP,65,0.6075187969924812,0.6151664688410243,0.7
MLP,66,0.6015037593984961,0.6090865544138191,0.7
MLP,67,0.6105263157894737,0.6537002915178792,0.7
MLP,68,0.5774436090225563,0.5935534948682907,0.65
MLP,69,0.5909774436090225,0.6520919163462223,0.65
MLP,70,0.6090225563909774,0.6357219909371445,0.75
MLP,71,0.5909774436090225,0.6174907237027412,0.75
MLP,72,0.5022556390977443,0.6060826060611413,0.75
MLP,73,0.5669172932330826,0.6193830980082197,0.7
MLP,74,0.6,0.5836149968722538,0.75
MLP,75,0.5924812030075187,0.6018701268399306,0.75
MLP,76,0.5834586466165413,0.6012361541556364,0.65
MLP,77,0.5969924812030075,0.5975495773369961,0.75
MLP,78,0.5624060150375939,0.5812756150093296,0.7
MLP,79,0.6060150375939849,0.5988299304270381,0.65
MLP,80,0.5413533834586466,0.5566449018893029,0.65
MLP,81,0.5744360902255639,0.5751219864397475,0.7
MLP,82,0.5714285714285714,0.5947800735156185,0.65
MLP,83,0.5699248120300752,0.5732872141624615,0.65
MLP,84,0.5774436090225563,0.5626632305201351,0.75
MLP,85,0.6225563909774435,0.5798077345710962,0.7
MLP,86,0.5894736842105263,0.6173611151149411,0.75
MLP,87,0.5368421052631579,0.5609418826285903,0.65
MLP,88,0.5849624060150376,0.5851918222917241,0.65
MLP,89,0.5969924812030075,0.5561276545594406,0.7
MLP,90,0.6180451127819548,0.6128248225792716,0.7
MLP,91,0.5924812030075187,0.5911083318309981,0.6
